id,dept,courseNumber,level,hours,name,description,createdAt,updatedAt
1,ACCT,ACCT-0010,0,0,Accounting Lower Division,,2025-09-28 00:00:00,2025-09-28 00:00:00
2,ACCT,ACCT-0011,0,1,Accounting Lower Division,,2025-09-28 00:00:00,2025-09-28 00:00:00
3,ACCT,ACCT-0012,0,2,Accounting Lower Division,,2025-09-28 00:00:00,2025-09-28 00:00:00
4,ACCT,ACCT-0013,0,3,Accounting Lower Division,,2025-09-28 00:00:00,2025-09-28 00:00:00
5,ACCT,ACCT-0014,0,4,Accounting Lower Division,,2025-09-28 00:00:00,2025-09-28 00:00:00
6,ACCT,ACCT-0020,0,0,Accounting Upper Division,,2025-09-28 00:00:00,2025-09-28 00:00:00
7,ACCT,ACCT-0023,0,3,Accounting Upper Division,,2025-09-28 00:00:00,2025-09-28 00:00:00
8,ACCT,ACCT-0052,0,2,Accounting-Graduate Level,,2025-09-28 00:00:00,2025-09-28 00:00:00
9,ACCT,ACCT-0053,0,3,Business-Graduate Level,,2025-09-28 00:00:00,2025-09-28 00:00:00
10,ACCT,ACCT-2113,2,3,Accounting Principles I,"Purpose of accounting, recording transactions, preparing financial statements, the use of special journals and general and subsidiary ledgers, introduction of accounting principles, accounting for a merchandising firm, and payroll accounting. This course is normally offered every semester.",2025-09-28 00:00:00,2025-09-28 00:00:00
11,ACCT,ACCT-2213,2,3,Accounting Principles II,"Prerequisite: ACCT-2113. Continuation of Accounting Principles I. Partnership accounting, corporation accounting, additional accounting principles, analyzing and interpreting financial statements, development of management decision-making accounting data, introduction to cost accounting, and cost-volume-profit analysis. This course is normally offered every semester.",2025-09-28 00:00:00,2025-09-28 00:00:00
12,ACCT,ACCT-3113,3,3,Intermediate Accounting I,"Prerequisite: ACCT-2213. Study of accounting theory and assumptions underlying Generally Accepted Accounting Principles related to financial statements, generally, and current assets, specifically. Special consideration is given to pronouncements of the Financial Accounting Standards Board, the American Institute of Certified Public Accountants, the American Accounting Association and the Securities and Exchange Commission. This course is normally offered fall semester.",2025-09-28 00:00:00,2025-09-28 00:00:00
13,ACCT,ACCT-3213,3,3,Intermediate Accounting II,"Prerequisite: ACCT-3113. Continuation of Intermediate Accounting I. Study of Generally Accepted Accounting Principles related to plant assets, liabilities and capital, financial statement analysis, price level accounting, and leasing transactions. This course is normally offered spring semester.",2025-09-28 00:00:00,2025-09-28 00:00:00
14,ACCT,ACCT-3313,3,3,Cost Accounting,"Prerequisite: ACCT-2213. The development of cost and accounting data for internal use in planning, control, and decision making by managers. Topics and techniques studied are job-order and process cost accounting; accounting for materials, labor, and factory overhead costs; standard cost accounting; payroll; budgeting; responsibility accounting; cost-volume-profit analysis, and direct costing. This course is offered every semester.",2025-09-28 00:00:00,2025-09-28 00:00:00
15,ACCT,ACCT-3323,3,3,Managerial Accounting,"Prerequisite: ACCT-2213. Study of the use of cost accounting data as a tool for planning, control, and decision making by managers. Topics studied include the nature of costs and their behavior; design of job-order and process cost accounting systems; cost-volume-profit relationships and profit planning; segmented reporting; comparison of direct costing with absorption costing; control of operations through standard costs and flexible budgets; pricing of products and services; relevant costs for decision-making and capital budgeting. This course is offered as needed.",2025-09-28 00:00:00,2025-09-28 00:00:00
